month,dis_observed
2000-01-01,49.141290322580645
2000-02-01,63.60206896551724
2000-03-01,69.98064516129033
2000-04-01,28.339
2000-05-01,28.950322580645164
2000-06-01,37.00633333333333
2000-07-01,29.576129032258063
2000-08-01,21.686451612903227
2000-09-01,32.22333333333333
2000-10-01,45.561290322580646
2000-11-01,69.94133333333335
2000-12-01,63.012258064516125
2001-01-01,77.52419354838709
2001-02-01,85.3275
2001-03-01,78.07000000000001
2001-04-01,52.133
2001-05-01,26.44451612903226
2001-06-01,20.150666666666663
2001-07-01,23.32
2001-08-01,17.931935483870966
2001-09-01,50.47933333333334
2001-10-01,49.16322580645162
2001-11-01,49.745666666666665
2001-12-01,89.5232258064516
2002-01-01,84.10548387096775
2002-02-01,116.68178571428572
2002-03-01,61.8216129032258
2002-04-01,26.04833333333333
2002-05-01,26.27516129032258
2002-06-01,25.39366666666666
2002-07-01,23.68387096774193
2002-08-01,51.87483870967742
2002-09-01,23.700666666666663
2002-10-01,23.550967741935484
2002-11-01,80.33966666666667
2002-12-01,91.48193548387096
2003-01-01,89.73225806451612
2003-02-01,48.86785714285713
2003-03-01,33.96806451612903
2003-04-01,25.61466666666667
2003-05-01,31.582580645161293
2003-06-01,19.211333333333336
2003-07-01,17.093225806451613
2003-08-01,12.803548387096775
2003-09-01,14.326333333333334
2003-10-01,17.54225806451613
2003-11-01,19.47833333333333
2003-12-01,36.430322580645154
2004-01-01,63.47483870967742
2004-02-01,71.04266666666666
2004-03-01,37.289
2004-04-01,28.413103448275866
2004-05-01,23.009032258064515
2004-06-01,16.919666666666668
2004-07-01,18.82741935483871
2004-08-01,17.04258064516129
2004-09-01,16.116333333333333
2004-10-01,17.01967741935484
2004-11-01,31.005333333333333
2004-12-01,38.96677419354839
2005-01-01,44.39903225806452
2005-02-01,76.4775
2005-03-01,34.259677419354844
2005-04-01,32.48566666666667
2005-05-01,33.1583870967742
2005-06-01,17.568666666666665
2005-07-01,24.936129032258066
2005-08-01,27.03322580645161
2005-09-01,21.68285714285713
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,21.52
2006-05-01,34.49655172413793
2006-06-01,22.593333333333334
2006-07-01,12.856521739130436
2006-08-01,49.20322580645162
2006-09-01,22.53333333333333
2006-10-01,24.241935483870968
2006-11-01,44.513333333333335
2006-12-01,60.78064516129032
2007-01-01,80.83548387096775
2007-02-01,63.74285714285713
2007-03-01,69.76774193548387
2007-04-01,21.10666666666667
2007-05-01,20.216129032258067
2007-06-01,23.956666666666667
2007-07-01,37.541935483870965
2007-08-01,26.68709677419355
2007-09-01,19.007142857142856
2007-10-01,24.280645161290323
2007-11-01,38.97566666666667
2007-12-01,72.26129032258063
2008-01-01,61.95806451612903
2008-02-01,53.19103448275862
2008-03-01,81.26966666666667
2008-04-01,39.06133333333333
2008-05-01,23.62451612903226
2008-06-01,22.043666666666667
2008-07-01,22.45193548387097
2008-08-01,37.524193548387096
2008-09-01,22.835
2008-10-01,29.48466666666667
2008-11-01,44.66766666666666
2008-12-01,41.86962962962963
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,18.902857142857144
2009-05-01,16.500645161290322
2009-06-01,23.206
2009-07-01,17.736129032258063
2009-08-01,14.905806451612904
2009-09-01,14.340666666666666
2009-10-01,18.48354838709677
2009-11-01,21.165
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,62.55571428571429
2010-09-01,29.303333333333327
2010-10-01,37.88483870967742
2010-11-01,51.74181818181818
2010-12-01,63.641666666666666
2011-01-01,108.1822580645161
2011-02-01,62.01428571428572
2011-03-01,40.2383870967742
2011-04-01,23.26315789473684
2011-05-01,12.921363636363637
2011-06-01,18.163666666666668
2011-07-01,44.76875
2011-08-01,21.79225806451613
2011-09-01,24.04266666666667
2011-10-01,20.60225806451613
2011-11-01,18.061333333333334
2011-12-01,80.05709677419355
2012-01-01,93.42193548387098
2012-02-01,33.164
2012-03-01,26.44263157894737
2012-04-01,27.944
2012-05-01,37.2468
2012-06-01,37.65466666666667
2012-07-01,40.46774193548387
2012-08-01,16.4558064516129
2012-09-01,17.350666666666665
2012-10-01,27.73322580645161
2012-11-01,24.63833333333333
2012-12-01,96.74451612903226
2013-01-01,63.450645161290325
2013-02-01,70.1525
2013-03-01,32.81290322580645
2013-04-01,22.14633333333333
2013-05-01,29.85037037037037
2013-06-01,20.208
2013-07-01,16.503870967741936
2013-08-01,13.740967741935483
2013-09-01,21.305357142857144
2013-10-01,33.33
2013-11-01,65.49199999999999
2013-12-01,41.89612903225807
2014-01-01,62.64571428571429
2014-02-01,56.4
2014-03-01,30.665666666666667
2014-04-01,18.499
2014-05-01,20.679655172413792
2014-06-01,15.111071428571428
2014-07-01,20.02035714285714
2014-08-01,31.384838709677418
2014-09-01,19.400333333333336
2014-10-01,22.528333333333336
2014-11-01,26.494666666666667
2014-12-01,45.85709677419355
2015-01-01,108.51903225806451
2015-02-01,63.73321428571429
2015-03-01,48.95
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,18.9
2015-11-01,24.1112
2015-12-01,
2016-01-01,63.989
2016-02-01,94.28586206896551
2016-03-01,65.46294117647058
2016-04-01,33.53944444444444
2016-05-01,29.31806451612903
2016-06-01,50.122
2016-07-01,25.45
2016-08-01,21.634193548387096
2016-09-01,15.138148148148147
2016-10-01,14.964516129032258
2016-11-01,34.516666666666666
2016-12-01,21.880322580645164
2017-01-01,47.38774193548387
2017-02-01,49.3675
2017-03-01,66.43806451612903
2017-04-01,19.57266666666667
2017-05-01,16.647083333333335
2017-06-01,13.133
2017-07-01,18.036129032258067
2017-08-01,14.545806451612904
2017-09-01,19.002333333333333
2017-10-01,18.49571428571429
2017-11-01,26.059
2017-12-01,66.66419354838709
2018-01-01,86.13612903225805
2018-02-01,53.74464285714286
2018-03-01,
2018-04-01,
2018-05-01,37.84625
2018-06-01,18.052
2018-07-01,11.276896551724136
2018-08-01,12.204615384615384
2018-09-01,12.821666666666667
2018-10-01,12.536785714285712
2018-11-01,13.896333333333333
2018-12-01,23.95548387096774
2019-01-01,28.17935483870968
2019-02-01,39.04178571428572
2019-03-01,58.32034482758621
2019-04-01,20.712000000000003
2019-05-01,15.929032258064517
2019-06-01,29.155666666666665
2019-07-01,13.124193548387098
2019-08-01,12.750714285714286
2019-09-01,12.342222222222222
2019-10-01,21.67870967741936
2019-11-01,23.840333333333334
2019-12-01,37.80935483870968
2020-01-01,28.76129032258064
2020-02-01,74.14379310344827
2020-03-01,80.12677419354839
2020-04-01,17.981
2020-05-01,14.250645161290322
2020-06-01,13.484333333333334
2020-07-01,14.286129032258064
2020-08-01,12.561612903225807
2020-09-01,13.243333333333332
2020-10-01,19.85806451612904
2020-11-01,19.785666666666668
2020-12-01,30.111290322580647
2021-01-01,61.36290322580645
2021-02-01,64.47964285714286
2021-03-01,29.465483870967745
2021-04-01,22.760666666666665
2021-05-01,18.47967741935484
2021-06-01,15.657
2021-07-01,21.33322580645161
2021-08-01,16.08258064516129
2021-09-01,13.5
2021-10-01,23.99774193548388
2021-11-01,30.696333333333328
2021-12-01,52.71419354838709
